id,nombre,marca,area,grupo,precio,alquilable
1542,ROSSIGNOL SKI BLACK OPS,Rossignol,invierno,Skis,,si
1066,ROSSIGNOL SKI COBRA X,Rossignol,invierno,Skis,,si
154,ROSSIGNOL SKI PASSION 1 + SAPHIR 90,Rossignol,invierno,Skis,,si
1078,ROSSIGNOL SKI EXPERIENCE 88,Rossignol,invierno,Skis,,si
1065,ROSSIGNOL SKI RPM 50,Rossignol,invierno,Skis,,si
1070,ROSSIGNOL SKI 9S T-POWER,Rossignol,invierno,Skis,,si
387,ROSSIGNOL COMP 9J + COMP JR,Rossignol,invierno,Skis,,si
1597,SALOMON SKI TNT,Salomon,invierno,Skis,,si
1009,SALOMON SKI VERSE 3,Salomon,invierno,Skis,,si
1586,ATOMIC SKI BACKLAND 100,Atomic,invierno,Skis,,si
404,ROSSIGNOL BOTA SALTO X,Rossignol,invierno,Botas Ski,,si
1567,ROSSIGNOL BOTA SKI ALL TRACK,Rossignol,invierno,Botas Ski,,si
115,ROSSIGNOL BOTA RADICAL R14,Rossignol,invierno,Botas Ski,,si
1588,ATOMIC BOTA SKI HAWX PRIME XTD 130,Atomic,invierno,Botas Ski,,si
1589,ROSSIGNOL FIJACION SKI FTX 105 SS,Rossignol,invierno,Fijaciones Ski,,si
1599,MARKER FIJACION SKI TOUR F10,Marker,invierno,Fijaciones Ski,,si
455,ROSSIGNOL SNOWBOARD CIRCUIT,Rossignol,invierno,Snowboards,,si
1085,ROSSIGNOL FIJACION SNOWBOARD HC3000,Rossignol,invierno,Fijaciones Snowboard,,si
1477,ROSSIGNOL FIJACION SNOWBOARD REFLET,Rossignol,invierno,Fijaciones Snowboard,,si
1007,ROSSIGNOL BASTON RACING GRAFITO,Rossignol,invierno,Bastones,,si
164,ROSSIGNOL CASCO AIR X,Rossignol,invierno,Cascos,,si
473,CARRERA CASCO EVA BASIC,Carrera,invierno,Cascos,,si
140,CARRERA ANTIPARRA RAPTOR,Carrera,invierno,Antiparras,,si
141,CARRERA ANTIPARRA KIMERIK OTG,Carrera,invierno,Antiparras,,si
142,CARRERA ANTIPARRA KIMERIK SF,Carrera,invierno,Antiparras,,si
212,RUSTY ANTIPARRA KIZS,Rusty,invierno,Antiparras,,si
213,RUSTY ANTIPARRA TALIV,Rusty,invierno,Antiparras,,si
1098,ROSSIGNOL ANTIPARRA ADDICT,Rossignol,invierno,Antiparras,,si
1088,CARRERA ANTEOJOS CHRONOS,Carrera,invierno,Anteojos,,no
1218,TRESPASS CAMPERA NATE,Trespass,invierno,Camperas,,no
1557,TRESPASS CAMPERA STELLAN,Trespass,invierno,Camperas,,no
1222,TRESPASS CAMPERA HARTFORD,Trespass,invierno,Camperas,,no
1630,TRESPASS CAMPERA WARNO,Trespass,invierno,Camperas,,no
366,RAFFIKE CAMPERA USHUAIA,Raffike,invierno,Camperas,,no
244,RAFFIKE CAMPERA K2,Raffike,invierno,Camperas,,no
246,RAFFIKE CAMPERA NEXUS,Raffike,invierno,Camperas,,no
994,NATURE NET CAMPERA SPORT SHELL LADY,Nature Net,invierno,Camperas,,no
993,NATURE NET CAMPERA SPORT SHELL MENS,Nature Net,invierno,Camperas,,no
1114,NATURE NET CAMPERA BURTON LADY,Nature Net,invierno,Camperas,,no
841,NATURE NET CAMPERA SILVERSTAR WOMENS,Nature Net,invierno,Camperas,,no
923,CROSS CAMPERA STORM,Cross,invierno,Camperas,,no
180,LIPPI CAMPERA LLULLAILLACO,Lippi,invierno,Camperas,,no
433,LIPPI CAMPERA INCAHUASI,Lippi,invierno,Camperas,,no
434,LIPPI CAMPERA KIÑEWEN,Lippi,invierno,Camperas,,no
1051,LIPPI CAMPERA MANASLU,Lippi,invierno,Camperas,,no
1664,MAMMUT CAMPERA PULSE,Mammut,invierno,Camperas,,no
1445,THE NORTH FACE CAMPERA VENTURE 2 W,The North Face,invierno,Camperas,,no
1465,THE NORTH FACE CAMPERA DESCENDIT MENS,The North Face,invierno,Camperas,,no
1466,THE NORTH FACE CAMPERA DESCENDIT WOMENS,The North Face,invierno,Camperas,,no
1294,DUKE CAMPERA SOLAR PRO,Duke,invierno,Camperas,,no
1215,TRESPASS PANTALON INVIERNO NANDO JUNIOR,Trespass,invierno,Pantalones Invierno,,no
1206,TRESPASS PANTALON INVIERNO GLASTO,Trespass,invierno,Pantalones Invierno,,no
1205,TRESPASS PANTALON INVIERNO FAGAN,Trespass,invierno,Pantalones Invierno,,no
373,CROSS PANTALON INVIERNO ST. MORITZ JUNIOR,Cross,invierno,Pantalones Invierno,,no
256,OUTSIDE PANTALON INVIERNO CATEDRAL,Outside,invierno,Pantalones Invierno,,no
240,RAFFIKE PANTALON DE INVIERNO ALPINE,Raffike,invierno,Pantalones Invierno,,no
1462,THE NORTH FACE PANTALON INVIERNO SEYMORE,The North Face,invierno,Pantalones Invierno,,no
1063,NATURE NET CALZA TERMICA,Nature Net,invierno,Primera Piel,,no
1074,NATURE NET CAMISETA TERMICA,Nature Net,invierno,Primera Piel,,no
231,RAFFIKE CALZA POWER DRY LADY,Raffike,invierno,Primera Piel,,no
232,RAFFIKE CAMISETA POWER DRY,Raffike,invierno,Primera Piel,,no
1579,ECO GORRO BOINA,ECO,invierno,Gorros,,no
1580,ECO GORRO POLAR,ECO,invierno,Gorros,,no
1163,ECO BOLSO SNOWBOARD,ECO,invierno,Bolsos y Fundas,,no
1479,THULE BOLSO SNOWBOARD ROUNDTRIP,Thule,invierno,Bolsos y Fundas,,no
